Z轴	Z-axis
对判断正确	JudgeRightAbout
无最大值	NoMaximalValue
全面积	AllArea
在右侧	OnRightSide
最大角	MaximalAngle
小圆	SmallCircle
画出	Draw
垂直相交	VerticalIntersection
化简	Simplification
在连续	ContinuityOn
是否过	WhetherGoThrough
连接得到	ConnectionObtained
判断框	JudgementBox
在区间不存在零点	NoExistZeroPointOn
沿向上翻折	FoldAlongUpword
沿翻折成	FoldAlong
仅有一个小于	OnlyOneLessThan
至少有一个小于	AtLeastOneLessThan
可能大于	ProbablyGreatThan
所有可能	AllPossible
所在区间	OnTheIntervalOf
周期内图象	GraphicInPeriodic
用画出	DrawBy
取得时的	GetWhen
全等	Congruent
#######################--------------时间分隔：8.7-8.11---------------###################
有实根	HaveRealRoot
延长至	ExtendTo
延长于	ExtendTo
恒大于	AlwaysGreaterThan
过向引	DrawnThroughTo
至少含有零点	AtLeastHaveZeroPoint
从左到右为	FromLeftToRightIs
向引	DrawnTo
总为	AlwaysIs
始终平分	AlwaysDivideEqually
从引	DrawnFrom
以作	DrawnBy
一个	OnlyOne
作答方式	AnswerWay
有实根	HaveRealRoot
使为	MakeBecome
解析表达式	AnalyticalExpression
位于上方	IntheAbove		
所有可能	AllPossible
仅有number个不同实数根	OnlyHaveNumberDifferentRealRoot
幂	Power
取值集	ValueSet
共有	NumberofTotal
过作	ThroughAndMake
是否在	IforNotOn
可导	CanDerived
正六棱锥	RegularHexagonalPyramid
依次记为	InSequence
组成图形	ComposeGraph
等腰非等边三角形	IsoscelesScaleneTriangle
三边均不相等	EveryEdgeIsInequality
只能作	OnlyCanMake
可作	CanMake
无数条	Countless
必过	MustThrough
有根个数	NumberofRoots
能否对于恒成立	WhetherBeAlwaysRightOrNotFor
必有实数根	MustHaveRealRoot
化简	Simplify
框图	FlowChart
右面	RightSide
程序	Program
画出	DrawOut
绕着旋转	RevolveAround
大	Biger
必是	MustBe
整数解	IntegerSolution
是否恒在	WhetherAlwaysOn
是不是	IsOrNot
向上	Up
是否存在	ExistOrNot	
由构成	FormedBy
展开图	ExpandedView
所得	GetIt
沿着折叠	FoldAlong
恰有零点	JustHaveZeroPoint
有且仅有一个	OnlyHaveOne
依次	InTurn
互不相同	DifferentFromEachOther
半焦距	HalfFocalLength
不是增函数	IsNotIncreasingFunction
不一定是	NotCertainly
